h|e|t|f|i|e:l|d|	ה|י|ט|פ|י|ל|ד|
s|m|a|l:l|e:y|	ס|מ|ו|ל|י|
c|a|v|a|l|i|e|r|i|	ק|א|ב|א|ל|י|י|ר|י|
b|a|c:h|c:h|a|n|	ב|א|צ|'|א|ן|
v|i|g:g|o|	ו|י|ג|ו|
s|z|o|k:e|	ס|ז|ו|ק|
b|e:r|n|i:e|	ב|ר|נ|י|
p|u|l|c|i|	פ|ו|ל|ש|י|
b|r|o|n|t|e|	ב|ר|ו|נ|ט|י|
j|o|s:e|p:h|	ג:'|ו|ז|ף|
c|o|r|n|w|e|l:l|	ק|ו|ר|נ|ו|י|ל|
m|u|l:l|e:r|	מ|ו|ל|ר|
e|t:h|i|o|p|i|a|n|	א|ת|י|ו|פ|י|א|ן|
t|a|l:e|b|l|o:o|	ט|א|ל|ב|ל|ו|
m|a|d|s|e:n|	מ|א|ד|ס|ן|
d|u:t|t|o:n|	ד|א|ט|ן|
a|n|t|a|r|c|t|i|c|a|	א|נ|ט|א|ר|ק|ט|י|ק|א|
l|y|n:n|	ל|י|ן|
p|o:u|p|a|k|i|s|	פ|ו|פ|א|ק|י|ס|
f|e:r|y|d|o:o|n|	פ|ר|י:י|ד|ו|ן|
h|a|l|o|n|e|n|	ה|א|ל|ו|נ|י|ן|
c:a|n:n|e:s|	ק|א|ן|
c|i|n|d|y|	ס|י|נ|ד|י|
g|a|e|t|a|n|o|	ג|א|י|ט|א|נ|ו|
g|e|d:d|e|s|	ג|י|ד|י|ס|
v|e|n|t|i:m|i|g:l|i|a|	ו|י|נ|ט|מ|י|ל|י|א|
b|e|l:l|i|n|i|	ב|י|ל|י|נ|י|
h|a|s|e|k|u|r|a|	ה|א|ס|י|ק|ו|ר|א|
f:e|i|s|t|	פ|י|ס|ט|
n|a|t|a|l|e|	נ|א|ט|א|ל|י|
k|u|m|a|r|	ק|ו|מ|א|ר|
f|r|e|d|r|i|k|	פ|ר|י|ד|ר|י|ק|
s|i|d:d|i|g|	ס|י|ד|י|ג|
k|u|m|a|i|	ק|ו|מ|א|י|
k|i|t:t|s|	ק|י|ט|ס|
b|e|r|t|o|	ב|י|ר|ט|ו|
c|o|l|o|r|a|d|o|	ק|ו|ל|ו|ר|א|ד|ו|
a|r|t|u|r|o|	א|ר|ט|ו|ר|ו|
s|t|a|m|	ס|ט|א|ם|
h|e:r|b|i:n|	ה|ר|ב|ן|
s:e|k|i|	ס|ק|י|
g|r|i|s:h|a|m|	ג|ר|י|ש|א|ם|
g|i:o|v|a|n:n|a|	ג:'|ו|ב|א|נ|א|
b|l|u|n|t|	ב|ל|א|נ|ט|
t|o|k|i|m|u|n|e|	ט|ו|ק|י|מ|ו|נ|ה|
m|i|n|o|b:e|	מ|י|י:נ|ו|ב|
