a:'|m|a|r|i:e|	ಅ|ಮ|ಾ|ರ|ೀ|
a:a|	ಆ|
g:a|l|e|	ಗ|ಲ|ೇ|
l:a|g|	ಲ|ಗ:್|
j|a|	ಜ|ಾ|
a:a|':i|d:a|h|	ಆ|ಇ|ದ|ಾ|
a:a|b:h|a:a|	ಆ|ಭ|ಾ|
a:a|b:h|i|j|a|t|	ಆ|ಭ|ಿ|ಜ|ಾ|ತ:್|
a:a|b|i|r:a|h|	ಆ|ಬ|ಿ|ರ|ಾ|
a:a|b|s:h|a|r|	ಆ|ಬ|ಶ|ರ|್|
a:a|c:h|a:a|r|y:a|n:a|n|d:a|n:a|a|	ಆ|ಚ|ಾ|ರ:್|ಯ|ನ|ಂ|ದ|ನ|ಾ|
a:a|c:h|a:a|r|y:a|s|u|t:a|a|	ಆ|ಚ|ಾ|ರ:್|ಯ|ಸ|ು|ತ|ಾ|
a:a|c:h|a:a|r|y|n:a|n|d:a|n|	ಆ|ಚ|ಾ|ರ:್|ಯ|ನ|ಂ|ದ|ನ:್|
a:a|c:h|a:a|r|y|n:a|n|d:a|n|a|	ಆ|ಚ|ಾ|ರ:್|ಯ|ನ|ಂ|ದ|ನ|ಾ|
a:a|c:h|a:a|r|y|n:a|n|d:a|n:a|a|	ಆ|ಚ|ಾ|ರ:್|ಯ|ನ|ಂ|ದ|ನ|ಾ|
a:a|c:h|a:a|r|y|s|u|t:a|	ಆ|ಚ|ಾ|ರ:್|ಯ|ಸ|ು|ತ|
a:a|c:h|a|r|y:a|n:a|n|d:a|n|	ಆ|ಚ|ಾ|ರ:್|ಯ|ನ|ಂ|ದ|ನ:್|
a:a|c:h|a|r|y:a|s|u|t:a|	ಆ|ಚ|ಾ|ರ:್|ಯ|ಸ|ು|ತ|
a:a|c:h|a|r|y:a|s|u|t:a|a|	ಆ|ಚ|ಾ|ರ:್|ಯ|ಸ|ು|ತ|ಾ|
a:a|c:h|a|r|y|s|u|t|	ಆ|ಚ|ಾ|ರ:್|ಯ|ಸ|ು|ತ|
a:a|c:h|a|r|y|s|u|t:a|	ಆ|ಚ|ಾ|ರ:್|ಯ|ಸ|ು|ತ|
a:a|c:h|r|e|k:a|r|	ಆ|ಚ|ರ|ೇ|ಕ|ರ:್|
a:a|d:a|r|s|h|	ಆ|ದ|ರ:್|ಶ|್|
a:a|d:a|r|s:h|i|	ಆ|ದ|ರ:್|ಶ|ಿ|
a:a|d:a|t|	ಆ|ದ|ತ:್|
s|e|	ಸ|ೆ|
m:a|j|b|o:o|r|	ಮ|ಜ|ಬ|ೂ|ರ:್|
a:a|d:h|a|r|s:h|i|l|a|	ಆ|ಧ|ಾ|ರ|ಶ|ೀ|ಲ|ಾ|
a:a|d|h:i|	ಆ|ದ|ಿ|
r:a|a|t|	ರ|ಾ|ತ:್|
k|e|	ಕ|ೆ|
b:a|a|d|	ಬ|ಾ|ದ:್|
r|o|t|i|	ರ|ೋ|ಟ|ಿ|
a:a|d|i|	ಆ|ದ|ಿ|
a:a|d|i|k:a|v|i|	ಆ|ದ|ಿ|ಕ|ವ|ಿ|
a:a|d|i|n:a|a|r:a|a|y:a|n|	ಆ|ದ|ಿ|ನ|ಾ|ರ|ಾ|ಯ|ಣ|
a:a|d|i|n:a|a|r|a|y:a|n|	ಆ|ದ|ಿ|ನ|ಾ|ರ|ಾ|ಯ|ಣ|
a:a|d|i|s:h|r|e:e|	ಆ|ದ|ಿ|ಶ|್:ರ|ೀ|
a:a|d|i|t|y|	ಆ|ದ|ಿ|ತ:್|ಯ|
a:a|d|i|t|y:a|	ಆ|ದ|ಿ|ತ:್|ಯ|
