ה|י:ט:פ|י|ל|ד|	H|e:t:f:i|e|l|d|
ס:מ:ו|ל|י|	S:m:a:l|l:e|y|
ק|א|ב|א|ל|י|י|ר|י|	C|a|v|a|l|i|e|r|i|
ב:א:צ|'|א|ן|	B:a:c:h:c|h|a|n|
ו:י:ג|ו|	V:i:g:g|o|
ס|ז|ו|ק|	S|z|o|k:e|
ב|ר|נ:י|	B|e:r|n:i:e|
פ|ו|ל|ש|י|	P|u|l|c|i|
ב|ר|ו|נ|ט|י|	B|r|o|n|t|e|
ג:'|ו:ז:ף|	J|o:s:e:p:h|
ק|ו|ר|נ|ו:י:ל|	C|o|r|n|w:e:l:l|
מ|ו|ל|ר|	M|u|l:l|e:r|
א:ת|י|ו|פ|י|א|ן|	E:t:h|i|o|p|i|a|n|
ט|א|ל|ב:ל:ו|	T|a|l|e:b:l:o:o|
מ|א|ד|ס:ן|	M|a|d|s:e:n|
ד:א:ט|ן|	D:u:t:t:o|n|
א|נ|ט|א|ר|ק|ט|י|ק|א|	A|n|t|a|r|c|t|i|c|a|
ל:י:ן|	L:y:n:n|
פ:ו:פ|א|ק|י|ס|	P:o:u:p|a|k|i|s|
פ|ר|י|י:ד|ו|ן|	F|e:r|y|d|o|o:n|
ה|א|ל|ו|נ|י|ן|	H|a|l|o|n|e|n|
ק|א|ן|	C|a|n:n:e:s|
ס|י|נ|ד|י|	C|i|n|d|y|
ג|א|י|ט|א|נ|ו|	G|a|e|t|a|n|o|
ג:י:ד|י|ס|	G:e:d:d|e|s|
ו|י|נ|ט:מ:י|ל|י|א|	V|e|n|t:i:m:i:g|l|i|a|
ב|י|ל|י|נ|י|	B|e|l:l|i|n|i|
ה|א|ס|י|ק|ו|ר|א|	H|a|s|e|k|u|r|a|
פ:י:ס|ט|	F:e:i:s|t|
נ|א|ט|א|ל|י|	N|a|t|a|l|e|
ק|ו|מ|א|ר|	K|u|m|a|r|
פ|ר|י|ד|ר|י|ק|	F|r|e|d|r|i|k|
ס:י|ד:י:ג|	S|i:d:d:i:g|
ק|ו|מ|א|י|	K|u|m|a|i|
ק|י|ט|ס|	K|i|t:t|s|
ב|י|ר|ט|ו|	B|e|r|t|o|
ק|ו|ל|ו|ר|א|ד|ו|	C|o|l|o|r|a|d|o|
א|ר|ט|ו|ר|ו|	A|r|t|u|r|o|
ס|ט|א|ם|	S|t|a|m|
ה|ר|ב|ן|	H|e:r|b|i:n|
ס:ק:י|	S:e:k:i|
ג|ר|י|ש|א|ם|	G|r|i|s:h|a|m|
ג|'|ו|ב:א:נ|א|	G|i|o|v:a:n:n|a|
ב|ל|א|נ|ט|	B|l|u|n|t|
ט|ו|ק|י|מ|ו|נ|ה|	T|o|k|i|m|u|n|e|
מ:י:י|נ:ו:ב|	M|i:n:o:b:e|
ק|א|נ|ט|ו|ר|	C|a|n|t|o|r|
מ|א|ט|י:א:ס|	M|a|t|t:h:i:a:s|
ב:ס:ר|י|	B:a:s:r|i|
ל|א|ר|ס:ו:ן|	L|a|r|s:s:o:n|
ר|א|נ|ד|א|ל|	R|a|n|d|a|l:l|
פ:י:ר|י|	P:e:a:r|y|
ב|א|ר|א|ז|א:י|ט|	B|a|r|a|z|i|t:e|
פ|א|ר|מ|נ|י|ד|ס|	P|a|r|m|e:n|i|d:e|s|
פ:ו:ס|י|ד|ו|ן|	P:o:s:e|i|d|o|n|
ס|א|ט|ו|	S|a|t|u|
ג|א|מ|א:ר:א|	G|a|m|a:r:r:a|
ב|ר|ג|מ|א|ן|	B|e:r|g|m|a|n|
פ|א|ט|פ|א|ט|	F|a|t|f|a|t|
ר|י|ו|ט|א|ר|ו|	R|y|u|t|a|r|o|
צ:':נ|ן|	C:h:e:n:e|n:e|
ש|ב:צ:'|נ|ק|ו|	S:h|e:v:c:h:e|n|k|o|
ס|א|נ|ט:ו:מ|י|	S|a|n|e:t:o:m|i|
ז:ג:ל|ו:ל|	Z:a:g:h:l|o:u:l|
פ|י|ד|ר|ו|ס|	P|e|d|r|o|s|
ה|א|ר|א|	H|a|r|a|
א:ו|ז|ב:ק|י|ס|ט|א|ן|	U|z|b:e:k|i|s|t|a|n|
ע|ר:י|ף|	A|r:i:e|f|
ש:מ|א|ס|	S:h:a:m:m|a|s|
נ|א|ר|א|	N|a|r|a|
ל:י|י:ג:ל|	L|a:i:g:l:e|
ע:ו:מ|ר|	O:u:m:a|r|
א|ר|י|א|ל|	A|r|i|e|l|
נ|י|ס|נ:י:ת|	N|i|s|a:n:i:t|
ק:ו:נ|י|	C:o:n:n:i|e|
ק|ו|ר|א:נ:י|	K|u|r|a:n:y:i|
ב:ק:ר|י|	B:a:k:r|i|
נ|י|ק|ו|ל|א|ס|	N|i|c|o|l|a|s|
ד|ר|ו|ג|ב|א|	D|r|o|g|b|a|
פ|י|ל|י|נ|י|	F|e|l:l|i|n|i|
מ|י|ל|י|ט|ו|	M|i|l|i|t|o|
ב|ר|י|ד|י|	B|r|e|d|e|
מ|א|ס|ט|ר|י:כ:ט|	M:a|a|s|t|r|i:c:h:t|
מ|י|ל|ו:ד|	M|i|l|o:u:d|
א|י|ל|א|ם|	E|e|l|a|m|
מ:א:י|ק:ל|	M:i|c:h:a:e:l|
ק:ל:א|ש|נ|י|ק|ו|ב|	K:a:l:a|s:h|n|i|k|o|v|
מ|פ|ו|מ|א|ל|א|נ|ג|א|	M|p|u|m|a|l|a|n|g|a|
נ|ו|מ|א|ן|	N|u|m|a|n|
ר|ו|ב|י|ו|	R|u|b|i|o|
ל|א|ט|י|נ|א|	L|a|t|i|n|a|
ק:ד:ו|מ|י|ם|	K:e:d:u|m|i|m|
ל:ו|	L:a:w|
ב|ר|י|ד|ג|'|ז|	B|r|i|d|g|e|s|
ש:מ|ס|ו|ל|	S:h:a:m|s|u|l|
א:ס:ד|	A:s:a:d|
נ:ס|י|ם|	N:i:s:s|i|m|
פ|ו|ט|י|ן|	P|u|t|i|n|
א:ל:מ|ו:כ:ט|א|ר|	M|u:k:h:t|a|r|
ד|י|ו|נ|י|ס|ו|ס|	D|i|o|n|y|s|u|s|
