a|	এ|
a:a|c:h|r|e|k|a|r|	আ|চ|র|ে|ক|া|র|
a:a|d|a|	আ|দ|া|
a:a|m|e|r|	আ|ম|ে|র|
a|a:n|	আ|ন|
a:a|q|i|b|	আ|ক|ি|ব|
a:a|r|t|i|	আ|র|ত|ি|
a:a:s|w|a:d|e|k|a|r|	অ:শ|্:ব|দ|ে|ক|া|র|
a:a|t:h|a|l|e|k|a|r|	আ|থ|া|ল|ে|ক|া|র|
a|a:t:i|s:h|	আ|ত:ী|শ|
a|b:a|l|a|	অ|ব|ল|া|
a|b:a|l|a|k|a|n|t:a|	অ|ব|ল|া|ক|া|ন:্|ত|
a|b:a|n|i|d:h:a|r|	অ|ব|ন|ী|ধ|র|
a|b:a|n|i|k|a|n|t:a|	অ|ব|ন|ী|ক|া|ন:্|ত|
a|b:a|n|i|k|u|m|a|r|	অ|ব|ন|ী|ক|ু|ম|া|র|
a|b:a|n|t|i|k|u|m|a|r|	অ|ব|ন:্|ত|ী|ক|ু|ম|া|র|
a|b|a|z|i|l:a|	আ|ব|া|জ|ি|ল|
a|b|b|a|s|	আ|ব:্|ব|া|স|
a|b|d|u|l|a|j|i|j|	আ|ব|দ|ু|ল|আ|জ|ি|জ|
a|b|d|u|l|a|l|i|m|	আ|ব|দ|ু|ল|আ|ল|ি|ম|
a|b|d|u|l|g:a|n|i|	আ|ব:্|দ|ু|ল|গ|ণ|ি|
a|b|d|u|l|g:a|p:h:u|r|	আ|ব|দ|ু|ল|গ|ফ:ু|র|
a|b|d|u|l|h|a|i|	আ|ব:্|দ|ু|ল|হ|া|ই|
a|b|d|u|l|h:a|k|	আ|ব:্|দ|ু|ল|হ|ক|
a|b|d|u|l|k:a|r|i|m|	আ|ব|দ|ু|ল|ক|র|ি|ম|
a|b|d|u|l|k:h:a|l|i|l|	আ|ব|দ|ু|ল|খ|ল|ি|ল|
a|b|d|u|l|l|a|	আ|ব:্|দ|ু|ল:্|ল|া|
a|b|d|u|l|l:a|t|i|b|	আ|ব|দ|ু|ল|ল|ত|ি|ব|
a|b|d|u|l|m:a|j|i|d|	আ|ব|দ|ু|ল|ম|জ|ি|দ|
a|b|d|u|l|r:a|h|i|m|	আ|ব|দ|ু|ল|র|হ|ি|ম|
a|b|d|u|l|r:a|p:h:i|k|	আ|ব|দ|ু|ল|র|ফ:ি|ক|
a|b|d|u|l|r:a|s:h:i|d|	আ|ব|দ|ু|ল|র|শ:ি|দ|
a|b|d|u|r|	আ|ব|দ|ু|র|
a|b|d|u|r|r:a|h|i|m|	আ|ব|দ|ু|র|র|হ|ি|ম|
a|b|e|d|	আ|ব|ে|দ|
a|b|e|d|a|	আ|ব|ে|দ|া|
a|b|e|d|a|l|i|	আ|ব|ে|দ|আ|ল|ি|
a|b|e|r|d|a|r:e|	আ|ব|ে|র|ড:ে|য়:া|র|
a|b|e|r|d|e:e|n|	আ|ব|ে|র|দ|ি|ন|
a|b:h:a|	আ|ভ:া|
a|b:h:a|i|p|u|r|	অ|ভ|য়|প|ু|র|
a|b:h:a|r|a|n|i|	আ|ভ:া|র|া|ণ|ী|
a|b:h:i|	অ|ভ:ি|
a|b:h:i|j|i|t|	আ|ভ:ি|জ|ি|ত|
a|b:h:i|k|	অ|ভ:ী|ক|
a|b:h:i|n:a|b:a|	অ|ভ:ি|ন|ব|
a|b:h:i|n|a|t:h|	অ|ভ:ি|ন|া|থ|
a|b:h:i|r|a|m|	অ|ভ:ি|র|া|ম|
a|b:h:i|r|u|p|	অ|ভ:ি|র|ূ|প|
