ஆ|	A:A|
க|ல|ே|	G:a|l|e|
ல|ா|க:்|	l|a|g|
ஜ|ா|	J|A|
த|	t:h:e|
ட:ூ|ன:்|	D:o:o|n|
ஸ:்:க|ூ|ல:்|	S:c|h:o:o|l|
ட|ெ|ஹ:்|ர|ா|ட|ூ|ன:்|	D|e|h|r|a|d|u|n|
ஒ|ர|ி|ய:ா|	O|r:i|y|a|
ஸ:ம|ா|ஜ|ா|	S:a:m|a|j|a|
ஹ|ி|ந:்:த|ு|	H|i|n:d|u|
ஏ|ஷ|ி|ய:ன:்|	A|s|i|a:n|
ஏ|ஜ|்|	a|g|e|
க|ோ|ல:்|ட:்|	g|o|l|d|
ம|ெ|ட|ல:்|	m|e|d:a|l|
ட|ா|ஹ|ெ|ஷ|்|	D|a|h|e|s|h|
ம|ி:ய:ூ|ஸ|ி|ய:ம:்|	M|u|s|e|u:m|
அ|ஸ:்:ஸ|ா|ம:்|	A|s:s|a|m|
ட:ி:ர|ை|ப|ூ|ன|்|	T:r|i|b|u|n|e|
ஆ|ஃ:ப:்|	o|f|
ச:ை|ன|்:ஸ:்|	s:c:i|e:n|c:e|
அ:ண:்|ட:்|	a:n|d|
இ:ன:்|ட|ஸ:்:ட|ர|ி|	i:n|d:u|s:t|r|y|
ம|ி:ய:ூ|ஸ|ி|ய:ா|ன:்|	M|u|s|e|o|n|
ப:ி:ர|ி|ட:்:ட|ி|ஷ|்|	B:r|i|t|i|s|h|
ந:ி:ய|ூ|	n:e|w|
ட|ெ|ல|்:ல:ி|	D|e|l|h:i|
ஆ|ஃ:ப:்|ட|ர:்|ன:ூ|ன:்|	a|f|t:e|r|n:o:o|n|
ஃ:ப|்:ப:ோ|க:்|ல|ோ|ர|்|	f|o:l|k|l|o|r|e|
க|ை|ம|ி|	K|y|m|i|
க|ெ:ள|ல|ா|ன:்|ட:ி:ர|ி|ஸ:்|	G:o|u|l|a|n|d:r|i|s|
ந:ே:ச|்:ச:ு|ர|ல:்|	n:a|t:u|r:a|l|
ஹ|ி|ஸ:்:ட|ர:ி|	h|i|s:t|o:r:y|
ஆ|'|த:ா|	A:a|':i|d:a:h|
இ|'|ஜ|ா|ஸ:்|	E|'|j:a|a|z|
எ|'|ட|ி|ம|ா|த:்|	E|'|t|e|m:a|a|d|
எ|'|ட|ி|ம|ா|த:்|	E|'|t|e|m|a|d|
ட|ீ|	D|e:e|
க:ை|	g:u:y|
ல:ா|	L:A:A|
ம:ா|	M:A:A|
வ|ி|	V|I|
ஷ|ா|	S:h:a|h|
இ|	E|
ஈ|ர|ா|ன:்|	I|r|a|n|
ம|ி|ஸ|ா|ர:்|	M|i|s|a|r|
ச:ா|	C:h:a|
ஜ:ா|	Z:s:a|
த|ு|	t|u|
ஹ|ை|	H|i|
ல:ீ|	L:e:i|
ய:ு|	Y:u:e|
ம|ன:்|	M:u|n|
ஃ:ப:்|ப:ோ:ர|்:ட:்|	F|o:r|t|
க|ா|	K|a|
அ|ன:்|ச|ல:்|	A|n|c:h:a|l|
ப|ி|ய:ா|ர:்|	P|y|a|r|
க|ி|	K|i|
ச|ெ:ள|க|ந:்:த|்|	S:a|u|g:a|n:d|h|
ர|ே|	r|e|
ட|ி|	d|i|
ப|ோ|ர|்:ட:ோ|க|ா|ல:ோ|	P|o|r|t:o|g|a|l:l:o|
த|ோ|	d|o|
ஔ|ர:்|	a:u|r|
ப|ா|ஞ|்:ச:்|	P:a|a|n|c:h|
ப|ு|	B|U|
அ|ல|ி|	A|l|i|
க|ா|ல|ா:ந:்|த|ர:்|	Q|a|l|a:n|d:a|r|
ச:ீ|	s:e:a|
ஆ:ப:்|	o:f|
அ|ச|ோ|வ|்|	A|z|o|v|e|
க:ி:ர|ெ|ட|ி|	C:r|e|t|e|
ஜ|ப:்:ப|ா|ன:்|	J:a|p|a|n|
ம|ா|	M|A|
அ|ஸ:்|-:ச|ம|ா|	A|s|-:S:a|m|a|
க:ீ|	k:e:y|
ட:வ|ர|்|	t:o:w|e|r|
க|ர|	K:h:a|r:a|
க:ோ|த|ா|	K:h:o|t|a|
ல|ா|	L|a|
ச|ே|ல:்|	S|a|l:l:e|
ல|ு|	L|u|
ல:ு:வ|ா|	L:u|a:h|
த:ி|	t:h:e|
ஆ|ஷ|ஸ:்|	a|s:h:e|s|
ய:ே|	Y:e:h|
த|ே|ஷ|்|	D|e|s|h|
ஜ|ோ|	J|o|
ஹ|ு|வ|ா|	h|u|w|a|
ச|ோ|	s|o|
ப|ூ|ல:்|	B|h:o:o|l|
த:ூ|ன|ி|	D:o:o|n|i|
ச|ர:்|	c:h:a|r|
வ|ா|த|ா|	W|A|D|A|
ர|ா|ஹ|ா|	R|a|h|a|
ட|ை|ன|்|	T|y|n|e|
ட|ு|ர:்|ர|ெ:ட:்|ஸ:்|	t|u|r|r|e:t|s|
ப|ா|த|ன:்|	b|a|d:a|n|
க|ய:்|த|ி|	Q:a|i|d|i|
ஃ:ப|ோ:ய:்|	F|O:I|
க|ா|ஸ|ம:்|	K|a|s:a|m|
ப|ா|ட:்|ல|ா|	b|a|d|l|a|
ல|ூ|ங:்:க|ா|	l|o:o|n:g|a|
ர|ா|ய|ல:்|	R|o|y:a|l|
ந|ா:ர:்|வ:ே|ய|ன:்|	N|o:r|w:e:g|i:a|n|
ஆ|ர:்|ட|ர:்|	o|r|d:e|r|
ம|ெ|ர|ி|ட:்|	m|e|r|i|t|
ப|ஹ|த:ு|ர:்|	B:a|h|a:d:u|r|
ச:ெ|ஹ:்|ர|ே|	c:h:e|h|r|e|
த|ோ|ஸ:்|த:்|	d|o|s|t|
க|ு|ல|ா|ப:்|	G|u|l|a|b|
