द|	t:h:e|
अ|स|म|	A|s:s|a:m|
ट:्:र|ि|ब|्:य:ू|न|	T:r|i|b|u|n:e|
ओ|	O|
प|ं|छ|ी|	P:a|n|c:h:h|i|
ज|ा|न|े|	J|a|n|e|
व|ा|ल|े|	W|a|l|e|
र|ॉ|य|ल|	R|o|y:a|l|
न|ॉ|र|व|े|ग|न|	N|o|r|w|e|g|i:a:n|
ऑ:ड|र|	o:r:d|e:r|
ऑ|फ|	o|f|
स|े:ं|ट|	S|a:i:n|t|
ओ|ल|व|	O|l|a:v|
ह:ं|ब|र|	H:u:m|b|e:r|
फ|ो|र|्:ट|्:‍:स|	f|o|r|t|s|
ज|ा|प|ा|न|	J|a|p|a|n|
प:्|र:ा:इ|ज़|	p|r:i|z:e|
ल|ि|ट|ि:ल|	l|i|t|t:l:e|
व:्:ह|ा:इ|ट|	w:h|i|t:e|
स|त:्:य|म|	S:a|t:y|a:m|
ट:ा:इ|म|्:स|	t:i|m:e|s|
ट|ा:य|न|े|	T|y|n|e|
ट|र|े|ट|्:‍:स|	t:u:r|r|e|t|s|
द|ा|ह|े|श|	D|a|h|e|s:h|
म:्:य|ु:ज़|ि:य:म|	M|u:s:e|u:m|
इ|ं|ड|ि:य:ा|	I|n|d|i:a|
ल|ि|व|ि|ं|ग|	l|i|v|i|n|g|
व|े:ल|	w|e:l:l|
य:ू:न|ा:इ:ट|े|ड|	U:n|i:t|e|d|
म|े|थ|ो|ड|ि|स:्:ट|	M|e|t:h|o|d|i|s:t|
ओ|ड:़|ि|य|ा|	O|r|i|y|a|
स|म|ा|ज|	S:a|m|a|j:a|
क|ि|ं|ग|्:स|	K|i|n|g|s|
म|े|ड|ल|	m|e|d|a:l|
म|े|र|ि|ट|	m|e|r|i|t|
इ|न|	i|n|
ग|ो|ल:्:ड|	g|o|l:d|
क|ा|र|्:प|र|	C|a|r|p|e:r|
अ|व|ा|र:्:ड|	a|w|a|r:d|
र|ॉ|ब|र|्:ट|	R|o|b|e:r|t|
ग|ॉ|र:्:ड|न|	G|o|r:d|o:n|
य:ू:न|ि|व|र|्:स|ि|ट|ी|	U:n|i|v|e:r|s|i|t|y|
ब:्:र|ॉ:ड|्:स|	B:r|o:a:d|s|
ह:‍:ि|न:्:द|ू|	H:i|n:d|u|
अ|म|े|र|ि:क|न|	A|r:m|e|n|i|a:n|
च|र:्|च|	c:h:u|r|c:h|
ह|ो|ल|ी|	H|o|l|y|
म|ा|र|्:ट:य|र|्:स|	m|a|r|t:y|r|s|
ड:्:र|ॉ:इ|ं|ग|	d:r|a:w:i|n|g|
स|े|ं|ट|र|	C|e|n|t|e:r|
ब:्:र|ि|ट|ि|श|	B:r|i|t|i|s:h|
स:्|क|ू|ल|	S|c:h|o:o|l|
न|्:य:ू|	n|e:w|
ड|े|ल:्|ह|ी|	D|e|l|h|i|
आ|फ|्:ट|र|न|ू|न|	a|f|t|e:r|n|o:o|n|
म:्:य|ु:ज़|ि:अ:न|	M|u:s:e|o:n|
प|र|्:फ|े|क|्:ट|	p|e:r|f|e|c|t|
म|र|्:ड|र|	m|u:r|d|e:r|
इ|क|न|ॉ|म|‍:ि:क|	e|c|o:n|o|m|i:c|
म|ॉ|र:्:न|ि|ं|ग|	m|o|r:n|i|n|g|
क:्:व|‍:ि|क|	q:u|i|c:k|
प|ा|य|ो:न:‍|ि:य:र|	p|i|o|n:e|e:r|
ड|े:ल|ी|	d|a:i:l|y|
इ|ं|ट|र|न|े:श|न|ल|	i|n|t|e:r|n|a:t:i|o:n|a:l|
ए:ण:्|ड|ी|	A:n|d|y|
अ|व|ा|र:्:ड|्:‍:स|	a|w|a|r:d|s|
ग:ॉ|ल|ै|ं|ड:्:र|ी|स|	G:o:u|l|a|n|d:r|i|s|
न|ै:च|र|ल|	n|a:t:u|r|a:l|
ह:‍:ि|स:्|ट:र|ी|	h:i|s|t:o:r|y|
ऑ|स:्:ट|्:र:े|ल:ि:य|न|/|व|ो|ग|े|ल|	A:u|s:t|r:a|l:i|a:n|/|v|o|g|e|l|
ल|ि|ट|्:र:े|र|ी|	l|i|t|e:r|a:r|y|
आ:ग|	A:A:G|
आ|ह|	A:a|h|
आ:ज|	A:A:J|
आ|न|	a:a|n|
