a|◊:b:o|m:b|	เ:อ|บ:อ|ม:บ:์|
a|◊:l:e|v|e:l|	เ:อ|เ:ล|เ:ว|ล|
a:-|n|e|t|	เ:อ:เ|น|็|ต|
a|.:d:.|	เ:อ|ด:ี|
a|.:e:.|	เ:อ|อ:ี|
a|.|g|.:p:.|	เ|อ|จ:ี|พ:ี|
a|.:m|.|	เ:อ|เ:อ:็|ม|
a|.:p:.|	เ:อ|พ:ี|
a|a|f|	เ:อ|เ:อ|เ:อ:ฟ|
a|a|g|a|a:r:d|	อ|า|ก|า:ร:์|ด|
a|a:m:o|d|t|	อ:า|ม:ั|ด|ต:์|
a|a:r|o|n|	แ:อ|ร|อ|น|
a|a:r:o|n|s|	แ:อ|เ:ร|ิ:่:น|ส:์|
a|a|r|s|	อ|า|ร:์|ส|
a|b|	แ:อ|๊:บ|
a|b|a|b|a|	อ:า|บ|า|บ|า|
a|b:a:c|o|	แ:อ|บ:า|โ:ก|
a|b|a|t:e|	อ|เ|บ|ต|
a|b|b|a|s|	อ:ั|บ|บ|า|ส|
a|b|b|a|s|i|d|	อ:ั|บ|บ|า|ซ|ิ|ด|
a|b|b|a|t:e|	อ:ั|บ|เ|บ|ท|
a|b|b:e|	แ:อ:็|บ|บ:ี:้|
a|b|b|e|r|l|e:y|	แ:อ:็|บ|เ|บ|อ:ร:์|ล|ี:ย:์|
a|b|b:e|t:t|	เ:อ:ิ|บ|เ:บ:็|ต|
a|b|b|e:y|	แ:อ|บ|บ|ี:ย:์|
a|b|b|i:a|t|i|	แ:อ:็|ป|บ|ี:อ:า|ต|ิ|
a|b|b|i|e|	แ:อ:็|บ|บ|ี|้|
a|b|b:o|t|	แ:อ:็|บ|เ:บ:ิ|ต|
a|b|b|o|t|t|	แ:อ|บ|บ|อ|ต|ต:์|
a|b|b:o:u|d|	เ:อ:ิ|ป|บ:ู|ด|
a|b|b:y|	แ:อ:็|บ|บ:ี:้|
a|b|d|a|l|	อ:ั|บ|ด|ั|ล|
a|b|d|a:l|l:a:h|	แ:อ:็|บ|แ:ด|ล|่:า|
a|b|d:e|l|l:a:h|	แ:อ:็|บ|เ:ด:ล|ล|่:า|
a|b|d|u|l|	อ:ั|บ|ด|ุ|ล|
a|b:e|	เ:อ|บ|
a|b|e:g:g|	เ:อ:อ|บ:ิ|ก|
a|b|e:l:e|	เ:อ|บ:ิ|ล|
a|b|e:l:e|s|	เ:อ|บ:ิ|ล|ส:์|
a|b:e|l:i|a|n|	อ:า|บ:ี:เ|ล|ี:ย|น|
a|b:e|l:l|	เ:อ|เ:บ:ิ|ล|
a|b:e:l|l:o|	แ:อ|เ:บ|โ:ล:้|
a|b:e|l|s|	เ:อ|เ:บ:ิ|ล|ส:์|
a|b:e|l|s|o|n|	แ:อ|บ|ิ:ล|ส|ั|น|
a|b|e|n:d|	แ:อ:็|ป:เ:บ|็|น:ด:์|
a|b:e|n|d|r|o|t:h|	อ|บ|ิ:น|ด|ร|อ|ท|
a|b|e|r|c|o|r|n|	แ:อ|เ|บ|อ:ร:์|ค|อ|ร:์|น|
a|b|e|r|c|r|o|m|b|i:e|	แ:อ|เ|บ|อ:ร:์|ค|ร|อ|ม|บ|ี|
a|b:e|r|c|r|o|m|b|i|e|	แ:อ:็|บ:เ:บ|อ:ร:์|ค|ร|อ|ม|บ|ี|้|
a|b:e|r|d:a:r|e|	แ:อ:็|บ:เ:บ|อ:ร:์|แ:ด|ร:์|
a|b|e|r|d|e:e|n|	แ:อ|เ|บ|อ:ร:์|ด|ี|น|
a|b:e|r|d|e:e|n|	แ:อ:็|บ:เ:บ|อ:ร:์|ด|ี|น|
a|b|e|r|d:o|u:r|	แ:อ|เ|บ|อ:ร:์|ด|อ:ร:์|
a|b:e|r|g:a|v:e|n|n:y|	แ:อ:็|บ:เ:บ|อ:ร:์|เ:ก:ิ|ฟ:เ:ว|น|น:ี:่|
a|b|e|r|n:a|t|h:y|	แ:อ|เ|บ|อ:ร:์|แ:น:็|ต|ท:ี:่|
a|b|e|r|t|	แ:อ:็|บ|เ:บ:ิ|ร:์|ต|
a|b|i|d|j|a|n|	อ:า|บ|ิ|ด|จ|ั|น|
a|b|i|g:a:i|l|	แ:อ|บ|ิ|เ:ก|ล|
a|b|i|j:a:h|	เ:อ:อ|บ|ิ|จ:า|
a|b|i|l|e:n:e|	แ:อ|บ|ิ|ล|ี:น|
a|b|i:n:g|d:o|n|	แ:อ|บ|ิ:ง|เ:ด:ิ|น|
a|b|l|a|k|o|v|	อ:ั|บ|ล|า|ค|อ|ฟ|
a|b|l:e|	เ:อ|เ:บ:ิ|ล|
a|b|l:e|r|	เ:อ|เ:บ|อ:เ:ล|อ:ร:์|
a|b|l:e|s|	เ:อ|เ:บ:ิ|ล|ส:์|
a|b|l:o|n|	เ:อ:ิ|บ|เ:ล:ิ|น|
a|b|n:e|r|	แ:อ:็|บ|เ:น:อ|ร:์|
a|b|n|e:y|	แ:อ|บ|น|ี:ย:์|
a|b|n|e:y|	แ:อ:็|บ|น|ี:ย:์|
a|b|n|o|r|	แ:อ:็|บ|เ:น|อ|ร:์|
a|b:o|y|n|e|	เ:อ:ิ|บ:บ:อ|ย|น|์|
a|b:r|a|h|a:m|◊|m|a|s|l:o|w|	เ:อ|บ:ร:า|แ|ฮ|ม|◊|ม|า|ส|โ:ล:ว|์|
a|b|r:a|h:a|m|s|	เ:อ|เ:บ|ร|อ:แ:ฮ|ม|ส:์|
a|b|r:a|h:a|m|s|o|n|	เ:อ:อ|แ:บ|ร|เ:ฮ:ิ|ม|ส|ั|น|
a|b|r:a|m|s|	เ:อ|เ:บ|ร|ิ:ม|ส:์|
a|b|r:a|m|s|o|n|	เ:อ|เ:บ|ร|ิ:ม|ส|ั|น|
a|b|r|u|p|t|	อ:ะ|บ|ร|ั|ป|ต:์|
a|b|r:y|	เ:อ:อ|บ|ร:ี:้|
a|b|s|	เ:อ|บ:ี|เ:อ:ส|
a|b|s|a|r|o:k|a|	แ:อ|บ|ซ|า|โ:ร|ก|า|
a|b|s|a|r|o|k|i|t|e|	แ:อ|บ|ซ|า|โ|ร|ไ|ก|ต|์|
