G|i|b|r|a|l|t|á|r:i|	G|i|b|r|a|l|t|a|r|
P|é|r|i|g|o|r|d|i|	P|é|r|i|g|o|r|d:i|a:n|
P|á|n|e|u|r|ó|p|a|	P|a|n|e|u|r|o|p:e|a:n|
H|e|b|e|f|í|l|i|a|	H|e|b|e|p:h|i|l|i|a|
A|u|t|ó|g|á|z|	A|u|t|o|g|a|s|
C|h|e|r|a|s|c|ó:i|	C|h|e|r|a|s|c|o|
A|n|g|l|e|s|i|t|	A|n|g|l|e|s|i|t:e|
r|e|i|m|s:i|	R|e|i|m|s|
E|s|p|o|s|i|t|o|	E|s|p|ó|s|i|t|o|
A|n|t|i|o|x|i|d|á|n|s|	A|n|t|i|o|x|i|d|a|n|t|
é|r|a|	e|r|a|
M|e|z|e|n:y|	M|e|z|e|n|
T|a|r|h|u|n|t|a|s:s|z:a|s:z|	T|a|r|h|u|n|t|a|s|s|a|
M|á|l|a|s|	M|á|l|a|š|
M|o|h|a|m|e|d|	M|o|h|a|m:m|e|d|
S|l|o|v|e|n|i|j:e|	S|l|o|v|e|n|i|a|
L|e|o|n|i|d|é|s:z|	L|e|o|n|i|d|a|s|
P|á|d|u|a:i|	P|a|d|u|a|
B|e|r|e|g|o|v|o|j|	B|e|r|e|g|o|v|o|y|
J|a|m|a|i|c|a:i|	J|a|m|a|i|c|a|
G|ó|b|i|	G|o|b|i|
O|x|e|p|á|n|	O|x|e|p|a|n:e|
T|h|u|r|ó|c|z:i|	T|h|u|r|o|c|z|
S|c|h|w|e|c|h|a|t:i|	S|c|h|w|e|c|h|a|t|
S|i|m|p|s|o|n|	S|i|m|p|s|o|n:s|
B|o|z|o|n|	B|o|s|o|n|
c|l|a|v|i|c:u|l|a:e|	c|l|a|v|i|c|l|e|
N|i|k|k|e|l|	N|i|c|k|e|l|
N|á|d|a|l|j:a|	N|a|d|a|l|j|
S|t|e|f|a|n|o|z|a|f|k|a|	S|t|e|f|a|n|o|z|a|v|k|a|
B|e|l|z|e|b|u|b|	B:e|e|l|z|e|b|u|b|
R|e|n|á|t|a|	R|e|n|a|t|a|
Á|m|í|n|	A|m|i|n:e|
P|r|i|b|i|s|	P|r|i|b|i|š|
B|a|n|y|á|n|	B|a|n|y|a|n|
M|á|l|t|a|	M|a|l|t|a|
M|á|l|t|a|	M|a|l|t|i|
A|n|t|i|k|ü|t|h|é|r|a|	A|n|t|i|k|y|t|h|e|r|a|
P|r|e|d|e|á|l|	P|r|e|d|e|a|l|
N|o|l|i|n|s|z:k|	N|o|l|i|n|s|k|
H|i|d|a|l|g|ó|	H|i|d|a|l|g|o|
T|e|x|a|s:i|	T|e|x|a|s|
M|ü|t|e|f|e|r|r|i|k|a|	M|u|t|e|f|e|r|r|i|k|a|
T|r|o|p|i|k|a|m|i|d|	T|r|o|p|i|c|a|m|i|d:e|
A|h|m|a|d|	A|h|m|e|d|
F|e|v|r|o|n:y|i|j|a|	F|e|v|r|o|n|i|y|a|
i|n|t|e|r|t|r|a|n|s|v|e|r|s|a|r|i|u:s|	I|n|t|e|r|t|r|a|n|s|v|e|r|s|a|r|i|i|
A|m|ü|m|ó|n|é|	A|m|y|m|o|n|e|
I|m|i|p|r|a|m|i|n|	I|m|i|p|r|a|m|i|n:e|
k|o|m|p|l|e|x|	c|o|m|p|l|e|x|
P:i|e|t|e|r|	P|e|t|e|r|
i|n|t|e|r|k|o|n|t|i|n|e|n|t|á:l|i:s|	I|n|t|e|r|c|o|n|t|i|n|e|n|t|a|l|
Z|o|m|b|o|r|	S|o|m|b|o|r|
R|e|t|i|n|á:l|i:s|	R|e|t|i|n|a|l|
T|e|t|r|a|r|c|h|i:a|	T|e|t|r|a|r|c|h|y|
Č|i|l|i|g|a|	C|i|l|i|g|a|
N|i|l|p|o|t|e|n|s|	N|i|l|p|o|t|e|n|t|
R|o|p|i|n|i|r|o|l|	R|o|p|i|n|i|r|o|l:e|
A|n|d|r|e|j|	A|n|d|r|e|i|
A|n|d|r|e|j|	A|n|d|r|e|y|
T|i|m|e|r|l|a|n|	T|y|m|e|r|l|a|n|
A|n|t|i|p|h|a|n|é|s:z|	A|n|t|i|p|h|a|n|e|s|
H|e|i|l|i|g|e|n|k|r|e|u|z:i|	H|e|i|l|i|g|e|n|k|r|e|u|z|
S|a|r|a|p|e|	S|e|r|a|p|e|
A|l|l|a|n|t|o|i|s:z|	A|l|l|a|n|t|o|i|s|
M|a|l|a|c|k|a|	M|a|l|a|c|k|y|
P|r|o|s|p|e|k|t|í|v|	P|r|o|s|p|e|c|t|i|v:e|
P|o|l|l|a|c|k|	P|o|l|l|o|c|k|
D|i|p|t|i|c|h|o|n|	D|i|p|t|y|c|h|o|n|
m|u|l|t|i|p|l|e:x|	M|u|l|t|i|p|l|e|
P|l|a|t|e|a|	P|l|a|t|é|e|
M|a|d|a|g|a|s:z|k|á|r|	M|a|d|a|g|a|s|c|a|r|
B|u|h|u|s|	B|u|h|u|ş:i|
I|n|d|i|á|n|	I|n|d|i|a|n|
c|o|l|c|h|i:c|u:m|	C|o|l|c|h|i|c|
D|m|i|t|r|i|j|e|v|a|	D|m|i|t|r|i|y|e|v|a|
A|u|t|o|n|ó|m|	A|u|t|o|n|o:m|i:c|
T|u|n|d|z|s|a|	T|u|n|d|z|h|a|
G|o|r|g|i|a|s:z|	G|o|r|g|i|a|s|
G|ö|t|t|i|n|g|e|n:i|	G|ö|t|t|i|n|g|e|n|
Z|y|g|o|m|a|t|u|r|i|d|a|e|	Z|y|g|o|m|a|t|u|r|i|n|a|e|
H|e|k|t|ó|r|	H|e|c|t|o|r|
D|r|o|t|a|v|e|r|i|n|	D|r|o|t|a|v|e|r|i|n:e|
K|r|i|v|á|n:y|	K|r|i|v|á|ň|
G|a|l|a|n|g|á|l|	G|a|l|a|n|g|a|l|
C|i|l|n|i|d|i|p|i|n|	C|i|l|n|i|d|i|p|i|n:e|
j|o|h|n|s|t|o|n|i|	J|o|h|n|s|t|o|n|':s|
B|u|l|g|a|n:y|i|n|	B|u|l|g|a|n|i|n|
O|x|i|d|á|c|i|ó|s|	O|x|i|d|a|t|i|o|n|
P|l|a|n|e|t|á|r|i|u|m|	P|l|a|n|e|t|a|r|i|u|m|
p|r|o|l|e|t|a|r|i|á:t|u:s|	p|r|o|l|e|t|a|r|i|a|t|
S|k|á|l|i|	S|k|á|l|a|
F|o|z|i|n|o|p|r|i|l|	F|o|s|i|n|o|p|r|i|l|
B|é|g|a|	B|e|g|a|
K|á|r|m|i|n|	K|a|r|m|i|n|
E|m|a|n|a|	E|m|a|n|á|
V|i|n|o|g|r|a|d|o|v|	V|i|n|o|g|r|a|d:o|v:s|k:y|
s|u|p|e|r|c|i|l|i|a|r|i|s|	S|u|p|e|r|c|i|l|i|a|r|i|e:d|
X|e|n|ó|n|i|u|m|	X|e|n|o|n|i|u|m|
l|e|o|p|á|r|d|	l|e|o|p|a|r|d|
C|a|b|i|b|b|o|–|K|o|b|a|j|a|s|i|–|M|a|s|z:k|a|v|a|	C|a|b|i|b|b|o|–|K|o|b|a|y|a|s:h|i|–|M|a|s|k|a|w|a|
N|ó|v|a|	N|o|v|a|
B|u|t|e|f|l|í|k|a|	B|o:u|t|e|f|l|i|k|a|
Á|r|i|f|	A|r|i|f|
P|o|n|o|m|a|r|j|o|v|	P|o|n|o|m|a|r|i|o|v|
