a:a|	ஆ|
g:a|l|e|	க|ல|ே|
l|a|g|	ல|ா|க:்|
j|a|	ஜ|ா|
a:a|':i|d:a|h|	ஆ|'|த|ா|
a:a|b:h|e:e|r|	ஆ|ப|ீ|ர:்|
a:a|b|i|d:a|h|	ஆ|ப|ி|த|ா|
a:a|b|i|r:a|h|	ஆ|ப|ி|ர|ா|
a:a|b|i|s|h|	ஆ|ப|ி|ஷ|்|
a:a|b|r|o:o|	ஆ|ப:்|ர|ூ|
a:a|b|s:h|a|r|	ஆ|ப:்|ஷ|ர|்|
a:a|c:h|a:a|r:a|y|a|	ஆ|ச|ா|ர|ய|ா|
a:a|c:h|a:a|r|y|a|n|a|n|d:a|n|a|	ஆ|ச|ா|ர:்|ய|ா|ன|ா|ன:்|த|ன|ா|
a:a|c:h|a:a|r|y|a|n|a|n|d:a|n:a|a|	ஆ|ச|ா|ர:்|ய|ா|ன|ா|ன:்|த|ன|ா|
a:a|c:h|a:a|r|y|a|s|u|t|a|	ஆ|ச|ா|ர:்|ய|ா|ச|ு|த|ா|
a:a|c:h|a:a|r|y|a|s|u|t:a|a|	ஆ|ச|ா|ர:்|ய|ா|ச|ு|த|ா|
a:a|c:h|a:a|r|y|n|a|n|d:a|n|	ஆ|ச|ா|ர:்|ய|ன|ா|ன:்|த|ன:்|
a:a|c:h|a:a|r|y|s|u|t|a|	ஆ|ச|ா|ர:்|ய:ா|ச|ு|த|ா|
a:a|c:h|a:a|r|y|s|u|t:a|a|	ஆ|ச|ா|ர:்|ய:ா|ச|ு|த|ா|
a:a|c:h|a|r|y|a|	ஆ|ச|ா|ர:்|ய|ா|
a:a|c:h|a|r|y|a|n|a|n|d:a|n|a|	ஆ|ச|ா|ர:்|ய|ா|ன|ா|ன:்|த|ன|ா|
a:a|c:h|a|r|y|a|n|a|n|d:a|n:a|a|	ஆ|ச|ா|ர:்|ய|ா|ன|ா|ன:்|த|ன|ா|
a:a|c:h|a|r|y|a|s|u|t|	ஆ|ச|ா|ர:்|ய|ா|ச|ு|த:்|
a|a|c:h|w:a|l|	ஆ|ச|்|வ|ல:்|
a:a|d:a|m|k:h|o|r|	ஆ|த|ம:்|க|ோ|ர:்|
a:a|d:a|r|s|h|	ஆ|த|ர:்|ஷ|்|
a:a|d|a|t|	ஆ|த|ா|த:்|
s|e|	ச|ே|
m:a|j|b|o:o|r|	ம|ஜ:்|ப|ூ|ர:்|
a:a|d:h|a|r|s:h|i|l|a|	ஆ|த|ர|்|ஷ|ி|ல|ா|
a:a|d:h|i|	ஆ|த|ி|
r|o|t|i|	ர|ோ|ட:்|ட:ி|
a:a|d|i|l|	ஆ|த|ி|ல:்|
a:a|d|i|m|u|r|t|i|	ஆ|த|ி|ம|ூ|ர:்|த:்|த:ி|
a:a|d|i|n:a|a|r:a|a|y:a|n|	ஆ|த|ி|ன|ா|ர|ா|ய|ன:்|
a:a|d|i|n:a|a|t|h|	ஆ|த|ி|ன|ா|த|்|
a:a|d|i|n|a|r|a|y:a|n|	ஆ|த|ி|ன|ா|ர|ா|ய|ன:்|
a:a|d|i|n|a|t|h|	ஆ|த|ி|ன|ா|த|்|
a:a|d|i|s|h:v|a|r|	ஆ|த|ி|ஷ:்|வ|ர|்|
a:a|d|i|t|y|a|	ஆ|த|ி|த:்|ய|ா|
a:a|d|i|t|y|a|k:e|s|h:a|v|	ஆ|த|ி|த:்|ய|ா|க|ே|ஷ|வ:்|
a:a|d|i|t|y|a|n:a|n|d:a|n|	ஆ|த|ி|த:்|ய|ா|ன|ன:்|த|ன:்|
a:a|d|i|t|y|n:a|n|d:a|n|	ஆ|த|ி|த:்|ய:ா|ன|ன:்|த|ன:்|
a:a|d|i:t|y|v:a|r|d:h|a|n|	ஆ|த|ி|த:்|வ|ர|்|த|ன:்|
a:a|d|m|i|	ஆ|த:்|ம|ி|
a|u|r|	அ|வ:ு|ர:்|
a|p|s:a|r|a|	அ|ப:்|ச|ர|ா|
s:a|d:a|k|	ச|த|க:்|
k|a|	க|ா|
a:a|g|	ஆ|க:்|
s:h|o|l|a|	ஷ|ோ|ல|ா|
g|o|l|a|	க|ோ|ல|ா|
t|o:o|f|a|n|	த|ூ|ஃ|ப|ன:்|
k|e|	க|ே|
s:h|o|l:a|y|	ஷ|ோ|ல|ே|
l:a|g|o|	ல|க|ோ|
d|o|	த|ோ|
s:a|w:a|n|	ச|வ|ன:்|
k|o|	க|ோ|
a:a|g|a|s:h|e|	ஆ|க|ா|ஷ|்|
a:a|g|e|	ஆ|க|ே|
b:a|d|h:o|	ப|ட|ோ|
k|i|	க|ி|
s|o|c|h|	ச|ோ|ச|்|
a:a|g|n:e|y|	ஆ|க:்|ன|ே|
a:a|h|l:a|a|d|	ஆ|ஹ:்|ல|ா|த:்|
a:a|h|l:a|a|d|i|t|	ஆ|ஹ:்|ல|ா|த|ி|த:்|
a:a|h|l|a|d|	ஆ|ஹ:்|ல|ா|த:்|
a:a|h|w:a|a|n|i|t|	ஆ|ஹ:்|வ|ா|ன|ி|த:்|
a:a|i|n|a|	ஆ|ய:்|ன|ா|
a:a|j|	ஆ|ஜ:்|
d|a|u|r|	த|வ|ு|ர:்|
