ஆ|	A:a|
க|ல:ே|	G|a:l:e|
ல|ா|க:்|	L|a|g|
ஜ|ா|	J|a|
ஆ|'|த:ா|	A|a:':i|d:a:h|
ஆ:ப|ீ|ர:்|	A:a:b|h:e:e|r|
ஆ:ப|ி|த:ா|	A:a:b|i|d:a:h|
ஆ:ப|ி|ர:ா|	A:a:b|i|r:a:h|
ஆ:ப|ி|ஷ|்|	A:a:b|i|s|h|
ஆ:ப|்:ர|ூ|	A:a:b|r|o:o|
ஆ:ப|்:ஷ|ர:்|	A:a:b|s:h:a|r|
ஆ|ச:ா|ர|ய|ா|	A:a|c:h:a|a:r:a|y|a|
ஆ|ச:ா|ர|்:ய:ா|ன|ா|ன:்|த:ன|ா|	A:a|c:h:a|a:r|y:a|n|a|n|d:a:n|a|
ஆ|ச:ா|ர|்:ய:ா|ன|ா|ன|்:த|ன|ா|	A:a|c:h:a|a:r|y:a|n|a|n|d|a:n:a|a|
ஆ|ச|ா:ர:்|ய|ா:ச:ு|த|ா|	A:a|c:h:a|a:r|y:a|s:u|t|a|
ஆ|ச|ா:ர:்|ய|ா:ச:ு|த:ா|	A:a|c:h:a|a:r|y:a|s:u|t:a:a|
ஆ|ச:ா|ர|்:ய|ன|ா|ன|்|த:ன:்|	A:a|c:h:a|a:r|y|n|a|n|d|a:n|
ஆ|ச:ா|ர|்:ய|ா:ச:ு|த|ா|	A:a|c:h:a|a:r|y|s:u|t|a|
ஆ|ச:ா|ர|்:ய|ா:ச:ு|த:ா|	A:a|c:h:a|a:r|y|s:u|t:a:a|
ஆ|ச:ா|ர|்:ய:ா|	A:a|c:h:a|r|y:a|
ஆ|ச:ா|ர|்:ய:ா|ன|ா|ன:்|த:ன|ா|	A:a|c:h:a|r|y:a|n|a|n|d:a:n|a|
ஆ|ச:ா|ர|்:ய:ா|ன|ா|ன|்:த|ன|ா|	A:a|c:h:a|r|y:a|n|a|n|d|a:n:a|a|
ஆ|ச:ா|ர:்|ய|ா:ச:ு|த:்|	A:a|c:h:a|r|y:a|s:u|t|
ஆ|ச:்|வ|ல:்|	A|a:c:h|w:a|l|
ஆ|த:ம|்:க|ோ|ர:்|	A:a|d:a:m|k|h:o|r|
ஆ:த|ர|்:ஷ:்|	A:a:d|a:r|s:h|
ஆ:த|ா|த:்|	A:a:d|a|t|
ச|ே|	S|e|
ம:ஜ|்:ப|ூ|ர:்|	M:a:j|b|o:o|r|
ஆ|த|ர:்|ஷ:ி|ல|ா|	A:a|d:h:a|r|s:h:i|l|a|
ஆ|த:ி|	A:a|d:h:i|
ர|ோ|ட:்:ட|ி|	R|o|t|i|
ஆ:த|ி|ல:்|	A:a:d|i|l|
ஆ:த|ி|ம:ூ:ர|்|த:்:த|ி|	A:a:d|i|m:u|r|t|i|
ஆ:த|ி|ன|ா|ர|ா|ய|ன:்|	A:a:d|i|n|a|a:r:a|a|y:a|n|
ஆ:த|ி|ன|ா:த|்|	A:a:d|i|n|a:a:t|h|
ஆ:த|ி|ன|ா|ர|ா|ய|ன:்|	A:a:d|i|n|a|r|a|y:a|n|
ஆ:த|ி|ன|ா|த|்|	A:a:d|i|n|a|t|h|
ஆ:த|ி|ஷ|்|வ|ர:்|	A:a:d|i|s|h|v:a|r|
ஆ:த|ி:த:்|ய|ா|	A:a:d|i:t|y|a|
ஆ:த|ி:த:்|ய|ா|க|ே|ஷ|வ:்|	A:a:d|i:t|y|a|k|e|s:h:a|v|
ஆ:த|ி:த:்|ய|ா|ன:ன|்|த:ன:்|	A:a:d|i:t|y|a|n:a:n|d|a:n|
ஆ:த|ி:த:்|ய|ா:ன:ன|்:த|ன:்|	A:a:d|i:t|y|n:a|n:d:a|n|
ஆ:த|ி|த|்:வ|ர:்|த:ன|்|	A:a:d|i|t|y:v:a|r|d:h:a|n|
ஆ:த|்:ம|ி|	A:a:d|m|i|
ஆ:த|்:ம|ி|	A:a:d|m|i|
அ:வ:ு|ர:்|	A:u|r|
அ|ப:்:ச|ர|ா|	A|p:s|a:r|a|
ஆ:த|்:ம|ி|	A:a:d|m|i|
ச|த|க:்|	S|a:d:a|k|
க|ா|	K|a|
ஆ|க:்|	A:a|g|
ஆ|க:்|	A:a|g|
அ:வ:ு|ர:்|	A:u|r|
ஷ:ோ|ல|ா|	S:h:o|l|a|
ஆ|க:்|	A:a|g|
க|ா|	K|a|
க|ோ|ல|ா|	G|o|l|a|
ஆ|க:்|	A:a|g|
க|ா|	K|a|
த|ூ|ஃ|ப:ன:்|	T|o:o|f|a:n|
ஆ|க:்|	A:a|g|
க|ே|	K|e|
ஷ:ோ|ல:ே|	S:h:o|l:a:y|
ஆ|க:்|	A:a|g|
ல:க|ோ|	L:a:g|o|
த|ோ|	D|o|
ச|வ|ன:்|	S|a:w:a|n|
க|ோ|	K|o|
ஆ:க|ா:ஷ|்|	A:a:g|a:s:h|e|
ஆ:க|ே|	A:a:g|e|
ப:ட|ோ|	B:a:d|h:o|
ஆ:க|ே|	A:a:g|e|
க|ி|	K|i|
ச|ோ|ச|்|	S|o|c|h|
ஆ|க:்|ன:ே|	A:a|g|n:e:y|
ஆ:ஹ|்:ல|ா|த:்|	A:a:h|l|a:a|d|
ஆ:ஹ|்:ல|ா|த|ி:த:்|	A:a:h|l|a|a:d|i:t|
ஆ:ஹ|்:ல|ா|த:்|	A:a:h|l|a|d|
ஆ:ஹ|்:வ|ா|ன|ி:த:்|	A:a:h|w|a|a:n|i:t|
ஆ|ய:்:ன|ா|	A:a|i:n|a|
ஆ|ஜ:்|	A:a|j|
க|ா|	K|a|
த|வ:ு|ர:்|	D:a|u|r|
ஆ|ஜ:்|	A:a|j|
க|ா|	K|a|
